ma_anh,ma_san_pham,thu_tu_anh,ten_file,duong_dan_anh,url_san_pham,url_anh,nguon_phat_hien,la_anh_gallery,http_status,mime_type,kich_thuoc_byte,sha256,trang_thai_tai,la_anh_trung,duong_dan_file_goc,ghi_chu
anh_000237,san_pham_0056,3,anh_003_834a4bdd.jpg,data\du_lieu_logo\anh_goc\san_pham_0056\anh_003_834a4bdd.jpg,https://hathyo.com/product/210,https://d134sx875xrex2.cloudfront.net/c4DIbup4ln_z7877758723805_b101fb96367c98611accd96d52c3cf30.jpg,meta:og:image,1,200,image/jpeg,200757,834a4bddffdb58fc79438fdd59a85563b468d958f3a34394667fe3817241941e,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0056\anh_003_834a4bdd.jpg,dau_hieu_gallery=gallery|image
anh_000238,san_pham_0056,4,anh_004_3574f459.jpg,data\du_lieu_logo\anh_goc\san_pham_0056\anh_004_3574f459.jpg,https://hathyo.com/product/210,https://d134sx875xrex2.cloudfront.net/7wYs8uY0RD_z7877758732501_5bf61531d68bddbbdcf5affe59adec59.jpg,meta:og:image,1,200,image/jpeg,83807,3574f45980e7896378e1b1f1e9c1e45b28fd42923c9f9e825d4f80340b3b529d,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0056\anh_004_3574f459.jpg,dau_hieu_gallery=gallery|image
anh_000239,san_pham_0056,5,anh_005_8a0e77d6.jpg,data\du_lieu_logo\anh_goc\san_pham_0056\anh_005_8a0e77d6.jpg,https://hathyo.com/product/210,https://d134sx875xrex2.cloudfront.net/z04MofleJ7_z7877758755126_0ddd73bc629871c651e905b103388383.jpg,meta:og:image,1,200,image/jpeg,94465,8a0e77d6592ae7e3fca0fb0960134331c5ebfa5f6fc1409444901d8140949360,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0056\anh_005_8a0e77d6.jpg,dau_hieu_gallery=gallery|image
anh_000240,san_pham_0056,6,anh_006_00ecd195.jpg,data\du_lieu_logo\anh_goc\san_pham_0056\anh_006_00ecd195.jpg,https://hathyo.com/product/210,https://d134sx875xrex2.cloudfront.net/Rg4NCLk4Km_z7877758739902_699df1bb24bf367d60cf10a6020c2336.jpg,meta:og:image,1,200,image/jpeg,106615,00ecd19571a90f61c68872b922be2f1e6dbdf6f59efc479aa415eba48302260f,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0056\anh_006_00ecd195.jpg,dau_hieu_gallery=gallery|image
anh_000241,san_pham_0056,7,anh_007_cd21890d.jpg,data\du_lieu_logo\anh_goc\san_pham_0056\anh_007_cd21890d.jpg,https://hathyo.com/product/210,https://d134sx875xrex2.cloudfront.net/jToYqKRQ9R_z7877758720099_986ac09af9e4e3ff4e81d7a244529b1a.jpg,meta:og:image,1,200,image/jpeg,117926,cd21890d4aafa929a5de7230c729349d9405d0e8c44796df050dd0ddb5ab7c30,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0056\anh_007_cd21890d.jpg,dau_hieu_gallery=gallery|image
anh_000242,san_pham_0056,8,anh_008_6136f39a.jpg,data\du_lieu_logo\anh_goc\san_pham_0056\anh_008_6136f39a.jpg,https://hathyo.com/product/210,https://d134sx875xrex2.cloudfront.net/fY6VtmpRwR_z7877758761783_01da9b3f168d4abdd7934f315444d3aa.jpg,meta:og:image,1,200,image/jpeg,143558,6136f39a44b3393c5c1f65b225b95acd4e6ad81e42f5a2d631b54e24883dbe69,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0056\anh_008_6136f39a.jpg,dau_hieu_gallery=gallery|image
anh_000243,san_pham_0057,1,anh_001_b86e11da.jpg,data\du_lieu_logo\anh_goc\san_pham_0057\anh_001_b86e11da.jpg,https://hathyo.com/product/212,https://d134sx875xrex2.cloudfront.net/2uei7uZakA_rn.jpg,meta:og:image,1,200,image/jpeg,339017,b86e11da9a88d6de26e5ebff7c70dbc6ef1c70cfaef69e10b97e1fd2edf8b19b,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0057\anh_001_b86e11da.jpg,dau_hieu_gallery=gallery|image
anh_000244,san_pham_0057,2,anh_002_747e169c.jpg,data\du_lieu_logo\anh_goc\san_pham_0057\anh_002_747e169c.jpg,https://hathyo.com/product/212,https://d134sx875xrex2.cloudfront.net/uohexYpeG4_B%E1%BA%A3n%20cam%20k%E1%BA%BFt_page-0001.jpg,meta:og:image,1,200,image/jpeg,1331208,747e169c02a8bbf8c992b78b6b4763038210ae575b8544a5548d4a592567ab68,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0057\anh_002_747e169c.jpg,dau_hieu_gallery=gallery|image
anh_000245,san_pham_0057,3,anh_003_7187fe7a.jpg,data\du_lieu_logo\anh_goc\san_pham_0057\anh_003_7187fe7a.jpg,https://hathyo.com/product/212,https://d134sx875xrex2.cloudfront.net/kgj99F3tun_%C3%B4cp.jpg,meta:og:image,1,200,image/jpeg,895276,7187fe7a7091bfc4a4e0c7afa57ef15a3ea3591ad5dc18ee3d284106defe42f2,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0057\anh_003_7187fe7a.jpg,dau_hieu_gallery=gallery|image
anh_000246,san_pham_0058,1,anh_001_2d055a2e.jpg,data\du_lieu_logo\anh_goc\san_pham_0058\anh_001_2d055a2e.jpg,https://hathyo.com/product/213,https://d134sx875xrex2.cloudfront.net/E2Bxxs1jfY_ruou%20gao.jpg,meta:og:image,1,200,image/jpeg,347094,2d055a2eba75505ffd2981e586661f7ddf403fe8a7c03edeb3813ab58bd58d79,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0058\anh_001_2d055a2e.jpg,dau_hieu_gallery=gallery|image
anh_000247,san_pham_0058,2,anh_002_c1ed32d3.png,data\du_lieu_logo\anh_goc\san_pham_0058\anh_002_c1ed32d3.png,https://hathyo.com/product/213,https://d134sx875xrex2.cloudfront.net/au44plqoy0_minh%20chung.png,meta:og:image,1,200,image/png,395836,c1ed32d325334df8f74b13eec1d02f57abcddd00b86ed29f9deca1c10640e45f,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0058\anh_002_c1ed32d3.png,dau_hieu_gallery=gallery|image
anh_000248,san_pham_0059,1,anh_001_131e8638.jpg,data\du_lieu_logo\anh_goc\san_pham_0059\anh_001_131e8638.jpg,https://hathyo.com/product/214,https://d134sx875xrex2.cloudfront.net/z7Bc1O9Dtg_thuy%20tinh%20sam%20cau.jpg,meta:og:image,1,200,image/jpeg,327795,131e863892a5e1cae22f2636d5a8719325b573e8a7412a4e004b8e95b9114811,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0059\anh_001_131e8638.jpg,dau_hieu_gallery=gallery|image
anh_000249,san_pham_0059,2,anh_002_216b1d6b.jpg,data\du_lieu_logo\anh_goc\san_pham_0059\anh_002_216b1d6b.jpg,https://hathyo.com/product/214,https://d134sx875xrex2.cloudfront.net/EukE57aElm_sam%20cau.jpg,meta:og:image,1,200,image/jpeg,426514,216b1d6b58211effb2cbcba8348926c1ab061e5d409a06268679c5ecb1817d03,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0059\anh_002_216b1d6b.jpg,dau_hieu_gallery=gallery|image
anh_000250,san_pham_0059,3,,,https://hathyo.com/product/214,https://d134sx875xrex2.cloudfront.net/5YL3bckOBN_minh%20chung.png,meta:og:image,1,200,image/png,395836,c1ed32d325334df8f74b13eec1d02f57abcddd00b86ed29f9deca1c10640e45f,trung_sha256,1,data\du_lieu_logo\anh_goc\san_pham_0058\anh_002_c1ed32d3.png,dau_hieu_gallery=gallery|image
anh_000251,san_pham_0059,4,anh_004_d2171e8a.jpg,data\du_lieu_logo\anh_goc\san_pham_0059\anh_004_d2171e8a.jpg,https://hathyo.com/product/214,https://d134sx875xrex2.cloudfront.net/nNPbxd56z1_chai%20nhua%20sam%20cau.jpg,meta:og:image,1,200,image/jpeg,360345,d2171e8a64cdf8e8a1dd1636a2930643c1dc285b8078a7cdcb925d11abe1776d,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0059\anh_004_d2171e8a.jpg,dau_hieu_gallery=gallery|image
anh_000252,san_pham_0060,1,anh_001_3789af25.jpg,data\du_lieu_logo\anh_goc\san_pham_0060\anh_001_3789af25.jpg,https://hathyo.com/product/215,https://d134sx875xrex2.cloudfront.net/ZqV8VHTEpp_sim%20bau%20tim.jpg,meta:og:image,1,200,image/jpeg,492218,3789af252235ecba7e6d854d1ccf8a3f68f9dcc4a1a799e3beb07f2a5f9627b4,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0060\anh_001_3789af25.jpg,dau_hieu_gallery=gallery|image
anh_000253,san_pham_0060,2,,,https://hathyo.com/product/215,https://d134sx875xrex2.cloudfront.net/q9YhBspFZN_minh%20chung.png,meta:og:image,1,200,image/png,395836,c1ed32d325334df8f74b13eec1d02f57abcddd00b86ed29f9deca1c10640e45f,trung_sha256,1,data\du_lieu_logo\anh_goc\san_pham_0058\anh_002_c1ed32d3.png,dau_hieu_gallery=gallery|image
anh_000254,san_pham_0060,3,anh_003_d1a41616.jpg,data\du_lieu_logo\anh_goc\san_pham_0060\anh_003_d1a41616.jpg,https://hathyo.com/product/215,https://d134sx875xrex2.cloudfront.net/vS8aomugH7_sim%20tinh.jpg,meta:og:image,1,200,image/jpeg,329132,d1a41616842db0008104213c39129002874b5b0d0d18742c93dfd885b759976c,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0060\anh_003_d1a41616.jpg,dau_hieu_gallery=gallery|image
anh_000255,san_pham_0060,4,anh_004_95f7d7ca.jpg,data\du_lieu_logo\anh_goc\san_pham_0060\anh_004_95f7d7ca.jpg,https://hathyo.com/product/215,https://d134sx875xrex2.cloudfront.net/RSJqpPLQ4w_sim%20nhua.jpg,meta:og:image,1,200,image/jpeg,325729,95f7d7caa99c9ed534ce7fb82d4ebca44199eb6e02bbee8f6695bad357e2b93c,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0060\anh_004_95f7d7ca.jpg,dau_hieu_gallery=gallery|image
anh_000256,san_pham_0060,5,anh_005_c850b4f9.jpg,data\du_lieu_logo\anh_goc\san_pham_0060\anh_005_c850b4f9.jpg,https://hathyo.com/product/215,https://d134sx875xrex2.cloudfront.net/HCT7NIfVMC_sim.jpg,meta:og:image,1,200,image/jpeg,410750,c850b4f9a10eb4eb27844edc5e3057a2ddca229fe4a764b2bde644248dd270dc,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0060\anh_005_c850b4f9.jpg,dau_hieu_gallery=gallery|image
anh_000257,san_pham_0061,1,anh_001_cec53700.jpg,data\du_lieu_logo\anh_goc\san_pham_0061\anh_001_cec53700.jpg,https://hathyo.com/product/216,https://d134sx875xrex2.cloudfront.net/yDPwbhxQD6_logo.jpg,meta:og:image,1,200,image/jpeg,99209,cec53700edda5e004a2eee4b3db892a5bc74e1cfebbdd436c5765d6e78964b8d,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0061\anh_001_cec53700.jpg,dau_hieu_gallery=gallery|image
anh_000258,san_pham_0061,2,anh_002_e253d32a.jpg,data\du_lieu_logo\anh_goc\san_pham_0061\anh_002_e253d32a.jpg,https://hathyo.com/product/216,https://d134sx875xrex2.cloudfront.net/uTA46g1chq_nhua%20ngu%20qua.jpg,meta:og:image,1,200,image/jpeg,293176,e253d32a146141603cbf973b804a4b94d2978960fd42bd0e361dc98511b706ca,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0061\anh_002_e253d32a.jpg,dau_hieu_gallery=gallery|image
anh_000259,san_pham_0061,3,,,https://hathyo.com/product/216,https://d134sx875xrex2.cloudfront.net/RkS5GR6TPt_minh%20chung.png,meta:og:image,1,200,image/png,395836,c1ed32d325334df8f74b13eec1d02f57abcddd00b86ed29f9deca1c10640e45f,trung_sha256,1,data\du_lieu_logo\anh_goc\san_pham_0058\anh_002_c1ed32d3.png,dau_hieu_gallery=gallery|image
anh_000260,san_pham_0062,1,anh_001_93f1a817.png,data\du_lieu_logo\anh_goc\san_pham_0062\anh_001_93f1a817.png,https://hathyo.com/product/217,https://d134sx875xrex2.cloudfront.net/Ifr9Axi7vf_tiny1.png,meta:og:image,1,200,image/png,112876,93f1a8179e494f3598df7d42ea51a1aaee5acab44843ea12bf2eadfc6f86b9f5,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0062\anh_001_93f1a817.png,dau_hieu_gallery=gallery|image
anh_000261,san_pham_0062,2,anh_002_3852b8ff.png,data\du_lieu_logo\anh_goc\san_pham_0062\anh_002_3852b8ff.png,https://hathyo.com/product/217,https://d134sx875xrex2.cloudfront.net/V6KrdcQgaO_tiny2.png,meta:og:image,1,200,image/png,430581,3852b8ff4f1e63a09c177a476c56caad0039e42a2942d55019ba7404cbf14296,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0062\anh_002_3852b8ff.png,dau_hieu_gallery=gallery|image
anh_000262,san_pham_0062,3,anh_003_1a6b8c2e.png,data\du_lieu_logo\anh_goc\san_pham_0062\anh_003_1a6b8c2e.png,https://hathyo.com/product/217,https://d134sx875xrex2.cloudfront.net/d05M8WL04q_tiny3.png,meta:og:image,1,200,image/png,1393610,1a6b8c2e2b00f0db2aa89c8b008c2766f779c07667f8f18b71f3b9730a95c196,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0062\anh_003_1a6b8c2e.png,dau_hieu_gallery=gallery|image
anh_000263,san_pham_0062,4,anh_004_b47f079c.png,data\du_lieu_logo\anh_goc\san_pham_0062\anh_004_b47f079c.png,https://hathyo.com/product/217,https://d134sx875xrex2.cloudfront.net/tBU3PrqpiF_tiny4.png,meta:og:image,1,200,image/png,22536,b47f079cbd8991f1547058c6fa19fb19dc78bb9a8566b63b4d8126c832e7cbc2,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0062\anh_004_b47f079c.png,dau_hieu_gallery=gallery|image
